GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Percent,Margin of Error
0400000US36,36,New York,7950000US3602202,3602202,New York - Broome (Outer West) & Tioga Counties PUMA,Broome (Outer West) & Tioga Counties PUMA,84.9,2.2
0400000US36,36,New York,7950000US3602203,3602203,"New York - Chenango, Delaware & Broome (East) Counties PUMA","Chenango, Delaware & Broome (East) Counties PUMA",76.7,2.4
0400000US36,36,New York,7950000US3602300,3602300,New York - Tompkins County PUMA,Tompkins County PUMA,87.7,2.6
0400000US36,36,New York,7950000US3602401,3602401,New York - Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,78.4,3.1
0400000US36,36,New York,7950000US3602402,3602402,"New York - Steuben (North & West), Schuyler & Chemung (North) Counties PUMA","Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",80.1,2.3
0400000US36,36,New York,7950000US3602500,3602500,New York - Cattaraugus & Allegany Counties PUMA,Cattaraugus & Allegany Counties PUMA,73.6,2.2
0400000US36,36,New York,7950000US3602600,3602600,New York - Chautauqua County PUMA,Chautauqua County PUMA,74.6,2.4
0400000US36,36,New York,7950000US3602701,3602701,New York - Sullivan & Ulster (West) Counties PUMA,Sullivan & Ulster (West) Counties PUMA,80.4,3.5
0400000US36,36,New York,7950000US3602702,3602702,New York - Ulster County (East) PUMA,Ulster County (East) PUMA,85.9,2.3
0400000US36,36,New York,7950000US3602801,3602801,New York - Dutchess County (North & East) PUMA,Dutchess County (North & East) PUMA,88.1,2.2
0400000US36,36,New York,7950000US3602802,3602802,New York - Dutchess County (Southwest) PUMA,Dutchess County (Southwest) PUMA,87.5,2.2
0400000US36,36,New York,7950000US3602901,3602901,New York - Orange County (Northeast)--Greater Newburgh City PUMA,Orange County (Northeast)--Greater Newburgh City PUMA,79.0,3.1
0400000US36,36,New York,7950000US3602902,3602902,New York - Orange County (Northwest) PUMA,Orange County (Northwest) PUMA,73.9,3.6
0400000US36,36,New York,7950000US3602903,3602903,New York - Orange County (Southeast) PUMA,Orange County (Southeast) PUMA,79.2,3.2
0400000US36,36,New York,7950000US3603001,3603001,New York - Rockland County (North)--New City & Congers PUMA,Rockland County (North)--New City & Congers PUMA,88.8,2.9
0400000US36,36,New York,7950000US3603002,3603002,"New York - Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA","Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",83.9,3.2
0400000US36,36,New York,7950000US3603003,3603003,"New York - Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA","Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",61.8,3.9
0400000US36,36,New York,7950000US3603101,3603101,New York - Putnam County PUMA,Putnam County PUMA,93.4,1.7
0400000US36,36,New York,7950000US3603102,3603102,New York - Westchester County (Northwest) PUMA,Westchester County (Northwest) PUMA,85.5,2.3
0400000US36,36,New York,7950000US3603103,3603103,New York - Westchester County (Northeast) PUMA,Westchester County (Northeast) PUMA,90.1,2.6
0400000US36,36,New York,7950000US3603104,3603104,New York - Westchester County (Southeast) PUMA,Westchester County (Southeast) PUMA,88.9,2.5
0400000US36,36,New York,7950000US3603105,3603105,New York - Westchester County (Central)--White Plains City PUMA,Westchester County (Central)--White Plains City PUMA,92.3,1.6
0400000US36,36,New York,7950000US3603106,3603106,New York - Westchester County (Southwest)--Yonkers City PUMA,Westchester County (Southwest)--Yonkers City PUMA,80.1,2.4
0400000US36,36,New York,7950000US3603107,3603107,New York - Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,81.7,2.2
0400000US36,36,New York,7950000US3603201,3603201,New York - Nassau County (Northwest)--North Hempstead Town (North) PUMA,Nassau County (Northwest)--North Hempstead Town (North) PUMA,93.1,1.8
0400000US36,36,New York,7950000US3603202,3603202,New York - Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,91.6,2.5
0400000US36,36,New York,7950000US3603203,3603203,New York - Nassau County (East Central)--Oyster Bay Town (Central) PUMA,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,91.5,2.3
0400000US36,36,New York,7950000US3603204,3603204,New York - Nassau County (West Central)--North Hempstead Town (South) PUMA,Nassau County (West Central)--North Hempstead Town (South) PUMA,89.6,2.1
0400000US36,36,New York,7950000US3603205,3603205,New York - Nassau County (West Central)--Hempstead Town (Northwest) PUMA,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,90.5,2.8
0400000US36,36,New York,7950000US3603206,3603206,New York - Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,85.3,2.7
0400000US36,36,New York,7950000US3603207,3603207,New York - Nassau County (Central)--Hempstead Town (Northeast) PUMA,Nassau County (Central)--Hempstead Town (Northeast) PUMA,89.4,2.2
0400000US36,36,New York,7950000US3603208,3603208,New York - Nassau County (Southeast)--Oyster Bay Town (South) PUMA,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,92.2,1.8
0400000US36,36,New York,7950000US3603209,3603209,New York - Nassau County (Central)--Hempstead Town (East Central) PUMA,Nassau County (Central)--Hempstead Town (East Central) PUMA,91.1,2.4
0400000US36,36,New York,7950000US3603210,3603210,New York - Nassau County (South Central)--Hempstead Town (Southeast) PUMA,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,90.9,2.6
0400000US36,36,New York,7950000US3603211,3603211,New York - Nassau County (West Central)--Hempstead Town (West Central) PUMA,Nassau County (West Central)--Hempstead Town (West Central) PUMA,88.8,2.8
0400000US36,36,New York,7950000US3603212,3603212,New York - Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,87.3,2.6
0400000US36,36,New York,7950000US3603301,3603301,New York - Suffolk County (Northwest)--Huntington Town (North) PUMA,Suffolk County (Northwest)--Huntington Town (North) PUMA,92.0,2.1
0400000US36,36,New York,7950000US3603302,3603302,New York - Suffolk County (Northwest)--Huntington Town (South) PUMA,Suffolk County (Northwest)--Huntington Town (South) PUMA,91.0,2.3
0400000US36,36,New York,7950000US3603303,3603303,New York - Suffolk County (Northwest)--Smithtown Town PUMA,Suffolk County (Northwest)--Smithtown Town PUMA,87.3,3.1
0400000US36,36,New York,7950000US3603304,3603304,New York - Suffolk County (North Central)--Brookhaven Town (North) PUMA,Suffolk County (North Central)--Brookhaven Town (North) PUMA,90.8,2.0
0400000US36,36,New York,7950000US3603305,3603305,New York - Suffolk County (East) PUMA,Suffolk County (East) PUMA,75.3,3.4
0400000US36,36,New York,7950000US3603306,3603306,New York - Suffolk County (South Central)--Brookhaven Town (South) PUMA,Suffolk County (South Central)--Brookhaven Town (South) PUMA,85.4,3.4
0400000US36,36,New York,7950000US3603307,3603307,New York - Suffolk County (Central)--Brookhaven Town (Central) PUMA,Suffolk County (Central)--Brookhaven Town (Central) PUMA,85.1,3.1
0400000US36,36,New York,7950000US3603308,3603308,New York - Suffolk County (Central)--Brookhaven Town (West Central) PUMA,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,89.2,2.2
0400000US36,36,New York,7950000US3603309,3603309,New York - Suffolk County (Central)--Islip Town (East) PUMA,Suffolk County (Central)--Islip Town (East) PUMA,89.9,2.6
0400000US36,36,New York,7950000US3603310,3603310,New York - Suffolk County (Central)--Islip Town (Northwest) PUMA,Suffolk County (Central)--Islip Town (Northwest) PUMA,80.4,3.4
0400000US36,36,New York,7950000US3603311,3603311,New York - Suffolk County (Southwest)--Islip Town (South) PUMA,Suffolk County (Southwest)--Islip Town (South) PUMA,90.9,2.7
0400000US36,36,New York,7950000US3603312,3603312,New York - Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,88.6,2.6
0400000US36,36,New York,7950000US3603313,3603313,New York - Suffolk County (West Central)--Babylon Town (Northwest) PUMA,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,83.7,3.5
0400000US36,36,New York,7950000US3603701,3603701,"New York - NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA","NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",84.3,2.6
0400000US36,36,New York,7950000US3603702,3603702,"New York - NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA","NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",68.3,3.7
0400000US36,36,New York,7950000US3603703,3603703,"New York - NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA","NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",82.8,3.2
0400000US36,36,New York,7950000US3603704,3603704,"New York - NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA","NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",72.6,3.6
0400000US36,36,New York,7950000US3603705,3603705,"New York - NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA","NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",69.4,3.2
0400000US36,36,New York,7950000US3603706,3603706,"New York - NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA","NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",74.7,3.6
0400000US36,36,New York,7950000US3603707,3603707,"New York - NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA","NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",70.6,3.5
0400000US36,36,New York,7950000US3603708,3603708,"New York - NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA","NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",71.3,3.9
